angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50:38
0.0,0.0,0.0,0.0,0.0,1.0,0.0,50:4
0.0,0.0,0.0,0.01,0.07,0.92,0.0,50:42
0.0,0.0,0.0,0.04,0.78,0.17,0.0,50:44
0.0,0.0,0.0,0.56,0.44,0.0,0.0,50:46
0.0,0.0,0.0,0.39,0.55,0.05,0.0,50:48
0.0,0.0,0.0,0.13,0.65,0.22,0.0,50:5
0.0,0.0,0.0,0.02,0.42,0.56,0.0,50:52
0.0,0.0,0.0,0.0,0.63,0.37,0.0,50:54
0.0,0.0,0.0,0.0,0.1,0.89,0.0,50:56
0.0,0.0,0.0,0.02,0.31,0.67,0.0,50:58
0.0,0.0,0.0,0.02,0.52,0.46,0.0,51:0
0.0,0.0,0.0,0.0,0.1,0.9,0.0,51:6
0.0,0.0,0.0,0.0,1.0,0.0,0.0,51:8
0.0,0.0,0.0,0.01,0.95,0.02,0.01,51:1
0.0,0.0,0.0,0.01,0.92,0.06,0.01,51:12
0.0,0.0,0.0,0.11,0.87,0.01,0.01,51:14
0.0,0.0,0.0,0.0,0.97,0.03,0.0,51:16
0.0,0.0,0.0,0.02,0.97,0.01,0.0,51:18
0.0,0.0,0.0,0.01,0.82,0.17,0.0,51:2
0.0,0.0,0.0,0.0,0.9,0.04,0.06,51:22
0.0,0.0,0.01,0.0,0.57,0.01,0.4,51:24
0.0,0.0,0.0,0.0,0.98,0.0,0.02,51:26
0.0,0.0,0.0,0.0,0.91,0.07,0.02,51:28
0.0,0.0,0.0,0.0,0.99,0.0,0.01,51:3
0.0,0.0,0.0,0.01,0.97,0.01,0.01,51:32
0.0,0.0,0.0,0.0,1.0,0.0,0.0,51:34
0.0,0.0,0.0,0.12,0.78,0.08,0.01,51:36
0.0,0.0,0.0,0.12,0.6,0.27,0.0,51:38
0.0,0.0,0.0,0.03,0.55,0.42,0.0,51:4
0.0,0.0,0.0,0.1,0.21,0.7,0.0,51:42
0.0,0.0,0.0,0.27,0.69,0.01,0.03,51:44
0.0,0.0,0.0,0.01,0.91,0.03,0.06,51:46
0.0,0.0,0.0,0.48,0.51,0.01,0.0,51:48
0.0,0.0,0.0,0.95,0.04,0.02,0.0,51:5
0.0,0.0,0.0,0.02,0.91,0.06,0.02,51:54
0.0,0.0,0.0,0.6,0.39,0.01,0.0,51:56
0.0,0.0,0.0,0.66,0.32,0.02,0.01,51:58
0.0,0.0,0.0,1.0,0.0,0.0,0.0,52:0
0.0,0.0,0.0,0.22,0.3,0.47,0.0,52:6
0.0,0.0,0.0,0.97,0.0,0.03,0.0,52:8
0.0,0.0,0.03,0.0,0.25,0.05,0.67,52:12
0.01,0.01,0.03,0.33,0.23,0.03,0.36,52:16
0.0,0.0,0.0,1.0,0.0,0.0,0.0,52:18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,52:2
0.0,0.0,0.0,0.01,0.57,0.42,0.0,52:24
0.0,0.0,0.0,0.03,0.82,0.15,0.01,52:26
0.0,0.0,0.0,0.08,0.34,0.58,0.0,52:28
0.0,0.0,0.0,0.14,0.81,0.03,0.02,52:3
0.0,0.0,0.01,0.11,0.64,0.06,0.18,52:32
0.0,0.0,0.02,0.0,0.15,0.81,0.01,52:34
0.0,0.0,0.1,0.71,0.06,0.06,0.06,52:4
0.0,0.0,0.0,0.51,0.36,0.01,0.12,52:42
0.0,0.0,0.0,0.4,0.55,0.03,0.01,52:44
0.0,0.0,0.0,0.28,0.67,0.01,0.04,52:46
0.0,0.0,0.0,0.93,0.0,0.07,0.0,52:48
0.0,0.0,0.0,0.54,0.19,0.26,0.01,52:5
0.0,0.0,0.0,0.25,0.29,0.45,0.01,52:52
0.0,0.0,0.02,0.28,0.14,0.34,0.22,52:54
0.0,0.0,0.0,0.03,0.87,0.06,0.03,52:56
0.0,0.0,0.02,0.08,0.12,0.77,0.01,52:58
0.0,0.0,0.01,0.11,0.53,0.29,0.06,53:0
0.0,0.0,0.0,0.45,0.29,0.1,0.16,53:6
0.0,0.0,0.0,0.0,0.0,0.0,0.99,53:12
0.0,0.0,0.0,0.0,0.0,0.0,0.99,53:16
0.0,0.0,0.0,0.01,0.91,0.08,0.0,53:18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,53:2
0.0,0.0,0.0,0.01,0.07,0.91,0.0,53:24
0.0,0.0,0.0,0.0,0.1,0.89,0.0,53:28
0.0,0.0,0.0,0.0,0.59,0.11,0.3,53:3
0.0,0.0,0.0,0.04,0.72,0.01,0.23,53:32
0.0,0.0,0.0,0.0,0.91,0.07,0.02,53:34
0.0,0.0,0.0,0.03,0.94,0.01,0.02,53:36
0.0,0.0,0.0,0.01,0.89,0.01,0.09,53:38
0.0,0.0,0.0,0.0,0.96,0.02,0.02,53:4
0.0,0.0,0.0,0.0,0.98,0.02,0.0,53:42
0.0,0.0,0.0,0.01,0.67,0.31,0.02,53:44
0.0,0.0,0.0,0.09,0.54,0.3,0.07,53:46
0.0,0.0,0.0,0.05,0.9,0.0,0.05,53:48
0.0,0.0,0.0,0.07,0.6,0.23,0.1,53:5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,53:52
0.01,0.0,0.0,0.0,0.13,0.08,0.77,53:54
0.0,0.0,0.0,0.0,0.0,0.0,1.0,53:56
0.0,0.0,0.0,0.0,0.0,0.0,1.0,53:58
0.0,0.0,0.0,0.0,0.0,0.0,1.0,54:0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,54:4
0.0,0.0,0.0,0.0,0.0,0.0,1.0,54:6
0.0,0.0,0.0,0.0,0.11,0.89,0.0,54:12
0.0,0.0,0.0,0.0,0.44,0.54,0.01,54:16
0.0,0.0,0.0,0.03,0.71,0.26,0.01,54:18
0.0,0.0,0.0,0.04,0.89,0.04,0.03,54:2
0.0,0.0,0.0,0.22,0.54,0.21,0.03,54:24
