angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.0,0.88,0.12,0.0,10:22
0.0,0.0,0.0,0.0,1.0,0.0,0.0,10:24
0.0,0.0,0.0,0.0,0.8,0.2,0.0,10:26
0.0,0.0,0.0,0.0,0.94,0.05,0.0,10:28
0.0,0.0,0.0,0.01,0.8,0.19,0.0,10:3
0.0,0.0,0.0,0.0,0.99,0.01,0.0,10:32
0.0,0.0,0.0,0.0,0.97,0.03,0.0,10:34
0.0,0.0,0.0,0.0,0.77,0.23,0.0,10:36
0.0,0.0,0.0,0.0,0.86,0.14,0.0,10:38
0.0,0.0,0.0,0.0,0.92,0.08,0.0,10:4
0.0,0.0,0.0,0.02,0.56,0.42,0.0,10:42
0.0,0.0,0.0,0.0,0.75,0.25,0.0,10:44
0.0,0.0,0.0,0.0,0.39,0.6,0.0,10:46
0.0,0.0,0.0,0.0,0.98,0.02,0.0,10:48
0.0,0.0,0.0,0.0,0.14,0.85,0.0,10:5
0.0,0.0,0.0,0.01,0.78,0.22,0.0,10:52
0.0,0.0,0.0,0.01,0.95,0.04,0.0,10:54
0.0,0.0,0.0,0.08,0.8,0.12,0.0,10:56
0.0,0.0,0.0,0.01,0.97,0.01,0.0,10:58
0.0,0.0,0.0,0.56,0.34,0.1,0.0,11:0
0.0,0.0,0.0,0.12,0.86,0.03,0.0,11:6
0.0,0.0,0.0,0.14,0.73,0.14,0.0,11:8
0.0,0.0,0.0,0.07,0.87,0.06,0.0,11:1
0.0,0.0,0.0,0.03,0.93,0.04,0.0,11:12
0.0,0.0,0.0,0.09,0.85,0.06,0.0,11:14
0.0,0.0,0.0,0.02,0.86,0.12,0.0,11:16
0.0,0.0,0.0,0.04,0.35,0.61,0.0,11:18
0.0,0.0,0.0,0.53,0.39,0.08,0.0,11:2
0.0,0.0,0.0,0.03,0.95,0.02,0.0,11:22
0.0,0.0,0.0,0.18,0.81,0.0,0.0,11:24
0.0,0.0,0.0,0.16,0.01,0.83,0.0,11:26
0.0,0.0,0.0,0.33,0.03,0.64,0.0,11:28
0.0,0.0,0.0,0.82,0.01,0.17,0.0,11:3
0.0,0.0,0.0,0.36,0.27,0.37,0.0,11:32
0.0,0.0,0.0,0.03,0.07,0.91,0.0,11:34
0.0,0.0,0.01,0.21,0.46,0.3,0.01,11:36
